Codigo;Nome;TipoEstacao;TipoEstacaoCodigo;Operando;CodigoAdicional;Latitude;Longitude;Altitude;AreaDrenagem;Bacia;BaciaCodigo;SubBacia;SubBaciaCodigo;Rio;RioCodigo;UF;UFCodigo;Municipio;MunicipioCodigo;Responsavel;ResponsavelSigla;ResponsavelCodigo;ResponsavelUnidade;Operadora;OperadoraSigla;OperadoraCodigo;OperadoraUnidade;OperadoraRoteiro;EscalaNivel;EscalaNivelInicio;EscalaNivelFim;RegistradorNivel;RegistradorNivelInicio;RegistradorNivelFim;MedicaoDescargaLiquida;MedicaoDescargaLiquidaInicio;MedicaoDescargaLiquidaInicioFim;MedicaoDescargaSolida;MedicaoDescargaSolidaInicio;MedicaoDescargaSolidaFim;MedicaoQA;MedicaoQAInicio;MedicaoQAFim;PluviometroConvencional;PluviometroConvencionalInicio;PluviometroConvencionalFim;RegistradorChuva;RegistradorChuvaInicio;RegistradorChuvaFim;TanqueEvaporimetrico;TanqueEvaporimetricoInicio;TanqueEvaporimetricoFim;EstacaoClimatologica;EstacaoClimatologicaInicio;EstacaoClimatologicaFim;EstacaoPiezometria;EstacaoPiezometriaInicio;EstacaoPiezometriaFim;EstacaoTelemetrica;EstacaoTelemetricaInicio;EstacaoTelemetricaFim;RedeBasica;RedeEnergetica;RedeNavegacao;RedeCursoDagua;RedeEstrategica;RedeCaptacao;RedeRHNR;RedeQA;RedeClasseVazao;Descricao;Geom;x;y
"1.547.002";PLANALTINA;Pluviométrica;"2";Sim;;"-15,643";"-47,651";"991";;RIO TOCANTINS;"2";RIO TOCANTINS,MARANHÃO,PALMAS..;"20";;"0";DISTRITO FEDERAL;"27";PLANALTINA;"27.012.000";Furnas Centrais Elétricas S.A.;FURNAS;"69";RJ;Furnas Centrais Elétricas S.A.;FURNAS;"69";RJ;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/7/1973;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;Sim;Não;Não;Não;Nulo;Não;Não;Não;;;"-47,651";"-15,643"
"1.547.004";BRASÍLIA;Pluviométrica;"2";Sim;83377;"-15,79";"-47,923";"1.159,54";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Instituto Nacional de Meteorologia;INMET;"5";;Instituto Nacional de Meteorologia;INMET;"5";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/7/1961;;Sim;31/7/1961;;Sim;31/7/1961;;Sim;31/7/1961;;Não;;;Sim;30/4/2000;;Não;Não;Sim;Não;Não;Sim;Não;Não;Não;TELEMÉTRICA;;"-47,923";"-15,79"
"1.547.005";BRASÍLIA (NÚCLEO BANDEIRANTE);Pluviométrica;"2";Sim;83380;"-15,783";"-47,933";"1.158";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Instituto Nacional de Meteorologia;INMET;"5";;Instituto Nacional de Meteorologia;INMET;"5";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/9/1969;;Sim;30/9/1969;;Sim;30/9/1969;;Sim;30/9/1969;;Não;;;Não;;;Não;Não;Não;Não;Não;Não;Não;Não;Não;;;"-47,933";"-15,783"
"1.547.006";BRASÍLIA - AEROPORTO;Pluviométrica;"2";Sim;83378;"-15,85";"-47,9";"1.060";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Diretoria de Eletrônica e Proteção ao Voo do Ministério da Aeronáutica;DEPV;"57";;Diretoria de Eletrônica e Proteção ao Voo do Ministério da Aeronáutica;DEPV;"57";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/5/1960;;Sim;31/5/1960;;Sim;31/5/1960;;Sim;31/5/1960;;Não;;;Não;;;Não;Não;Não;Nulo;Não;Nulo;Não;Não;Não;;;"-47,9";"-15,85"
"1.547.008";ETE SUL;Pluviométrica;"2";Sim;;"-15,841";"-47,909";"1.005";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/1970;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Sim;Nulo;Não;Não;Não;;;"-47,909";"-15,841"
"1.547.009";ETE NORTE;Pluviométrica;"2";Sim;;"-15,743";"-47,877";"1.010";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/1970;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Sim;Nulo;Não;Não;Não;;;"-47,877";"-15,743"
"1.547.010";CONTAGEM;Pluviométrica;"2";Sim;;"-15,653";"-47,879";"1.242";;RIO TOCANTINS;"2";RIO TOCANTINS,MARANHÃO,PALMAS..;"20";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/9/1970;;Sim;30/9/1970;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;;;"-47,879";"-15,653"
"1.547.013";TAQUARA;Pluviométrica;"2";Sim;;"-15,632";"-47,52";"1.053";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/11/1971;;Sim;30/11/2010;;Não;;;Sim;30/11/1971;;Não;;;Não;;;Não;Não;Não;Não;Sim;Nulo;Não;Não;Não;;;"-47,52";"-15,632"
"1.547.014";ÁREA ALFA;Pluviométrica;"2";Sim;;"-15,979";"-47,975";"1.206";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/9/1972;;Sim;30/11/2010;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Sim;Nulo;Não;Não;Não;;;"-47,975";"-15,979"
"1.547.015";ETE - SOBRADINHO;Pluviométrica;"2";Sim;;"-15,661";"-47,812";"1.040";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/9/1972;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Sim;Nulo;Não;Não;Não;;;"-47,812";"-15,661"
"1.547.016";CPAC - PRINCIPAL;Pluviométrica;"2";Sim;;"-15,583";"-47,7";"1.007";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Empresa Brasileira de Pesquisa Agropecuária;EMBRAPA/IPAGRO;"42";;Empresa Brasileira de Pesquisa Agropecuária;EMBRAPA/IPAGRO;"42";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/8/1973;;Sim;31/8/1973;;Sim;31/8/1973;;Sim;31/8/1973;;Não;;;Não;;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;;;"-47,7";"-15,583"
"1.547.017";SANTA MARIA;Pluviométrica;"2";Sim;;"-15,67";"-47,953";"1.078";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/7/1978;;Sim;31/7/1978;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Sim;Nulo;Não;Não;Não;;;"-47,952";"-15,67"
"1.547.018";JOCKEY CLUB;Pluviométrica;"2";Sim;;"-15,806";"-47,998";"1.103";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/9/1978;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;;;"-47,998";"-15,806"
"1.547.019";ETA CABEÇA DE VEADO;Pluviométrica;"2";Sim;;"-15,891";"-47,846";"1.064";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/6/1978;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Sim;Nulo;Não;Não;Não;;;"-47,846";"-15,891"
